,word,category,lexical_class,period0,period1,period2,period3,period4
0,bite,action_words,verbs,0.20503105993072193,0.2524211885673659,0.23185347593747652,0.19832933495442073,0.31764784668173107
1,blow,action_words,verbs,0.13365607894957066,0.1564087768395742,0.13839777627338964,0.15114577064911525,0.16733816812435787
2,break,action_words,verbs,0.1379966652737214,0.24101273396185466,0.23200547074278197,0.231282716350896,0.15534076733248575
3,bring,action_words,verbs,0.2781768340085234,0.18371417882541816,0.2116192660427519,0.21227619697650274,0.19929648265242578
4,build,action_words,verbs,0.2072287475069364,0.15849874690175056,0.13270559223989645,0.10226768354574839,0.15594464167952538
5,bump,action_words,verbs,0.23819392833572167,0.19819554388523103,0.2530416989965098,0.1554493653277556,0.1539556723088026
6,buy,action_words,verbs,0.15860290142397085,0.22019978562990825,0.23235960106054943,0.24594272623459498,0.2514632888138294
7,carry,action_words,verbs,0.08249194746216139,0.10121912447114785,0.10928269935150942,0.14259610486527283,0.12132478108008703
8,catch,action_words,verbs,0.1997882345548043,0.17427963515122732,0.19440835267305373,0.22762059569358825,0.1988844302793344
9,chase,action_words,verbs,0.08057744947395154,0.14525908802946408,0.14944868981838227,0.18270176595875195,0.1344110317528248
10,clap,action_words,verbs,0.20313765587551252,0.22081461896498997,0.14548137411475182,0.0,0.12398461227615674
11,clean,action_words,verbs,0.18208278740445774,0.22418235714236895,0.2696383244224957,0.19844236572583515,0.23130747408916552
12,climb,action_words,verbs,0.18198427677686727,0.2793944398562113,0.1787441837290923,0.25828647539019584,0.15755410343408585
13,close,action_words,verbs,0.11555538078149159,0.20481735281646252,0.16707929716046369,0.17973469297091166,0.17282629013061523
14,cook,action_words,verbs,0.37835146486759186,0.29505300919214883,0.325205863515536,0.35900015334288277,0.3155395905176798
15,cover,action_words,verbs,0.12341438140720129,0.13096867235643522,0.14710256958810183,0.11978014061848323,0.13273144061011927
16,cry,action_words,verbs,0.230293903251489,0.23911337660891668,0.21691603163878123,0.29464127868413925,0.2055522195994854
17,cut,action_words,verbs,0.1565866967929261,0.19264104669647558,0.14260741349841868,0.17715446123232445,0.14125296200315157
18,dance,action_words,verbs,0.26576536893844604,0.25530450365373064,0.1739200363556544,0.2354132314523061,0.2386661781264203
19,draw,action_words,verbs,0.1646428709583623,0.1948406950881084,0.24012676278750103,0.16867437039812405,0.15568929190437
20,drive,action_words,verbs,0.16840407152970632,0.1789824782560269,0.1762290817995866,0.16691075190901755,0.1287398754752108
21,drop,action_words,verbs,0.127276605793408,0.2018677924892732,0.23704290799796582,0.17033892018454416,0.13039901182055474
