,word,category,lexical_class,period0,period1,period2,period3,period4
0,bite,action_words,verbs,0.19036505565047265,0.24638014348844686,0.23674901507117532,0.20602409780025482,0.2772275960693757
1,blow,action_words,verbs,0.11320652019070543,0.1643477639555931,0.1530483029410243,0.14720720402896403,0.16084809407591819
2,break,action_words,verbs,0.1306586502627893,0.23774301192977212,0.22656931550729842,0.21296406995194653,0.18586538602476535
3,bring,action_words,verbs,0.23295208951458335,0.17842369206249714,0.19705400592647493,0.19672582402825356,0.2020839909867694
4,build,action_words,verbs,0.1619792716950178,0.13425443205982446,0.11105088360607623,0.12592729359865187,0.14771454110741616
5,bump,action_words,verbs,0.2076535907320001,0.17188695461178818,0.20609347491214672,0.1613932763785124,0.15141980454325676
6,buy,action_words,verbs,0.15072002863356224,0.17652657270431518,0.19230335742235183,0.21177747324109078,0.22406605716146852
7,carry,action_words,verbs,0.09401399362832308,0.1309200731664896,0.14170971624553202,0.12582733683288097,0.11375311544785897
8,catch,action_words,verbs,0.17041400877670163,0.1850880745332688,0.1896265184879303,0.2051879168301821,0.1974715155363083
9,chase,action_words,verbs,0.08310391575408478,0.15317362323403358,0.13475470741589865,0.1553416780155638,0.13217374965548515
10,clap,action_words,verbs,0.19276894025859379,0.17247112482786178,0.16332604769955983,0.0,0.12757428131997586
11,clean,action_words,verbs,0.19763013496994972,0.22726300820708276,0.2479928998897473,0.1967696240544319,0.20032104093581438
12,climb,action_words,verbs,0.18197763497785976,0.2137630295753479,0.18531997755169868,0.20711947294572988,0.14962816298007964
13,close,action_words,verbs,0.13359619098870704,0.16176765568554402,0.15984637654669906,0.156369406580925,0.15810652915388346
14,cook,action_words,verbs,0.36150608599185946,0.2996638351678848,0.28085690319538115,0.3583872184157372,0.2458247907149295
15,cover,action_words,verbs,0.10775443733754483,0.12930729954193035,0.1419535991312428,0.11939801342785358,0.12039615695054333
16,cry,action_words,verbs,0.20926777578890324,0.23734672659117242,0.21880992269143462,0.26817109373708564,0.19935977831482887
17,cut,action_words,verbs,0.14277913871531686,0.18763150352363786,0.15736730955541134,0.17439215403050184,0.16237435132885972
18,dance,action_words,verbs,0.24767452975114188,0.21601176585840143,0.15921406641602517,0.17529938533902167,0.22191655822098255
19,draw,action_words,verbs,0.15156156631807485,0.15905857544081906,0.17560223571956157,0.15856017604470252,0.13960555717349052
20,drive,action_words,verbs,0.18653654555479685,0.16626903438009322,0.17830951973795892,0.15510176718235016,0.14228206168374288
21,drop,action_words,verbs,0.11554896162653511,0.21562769310548902,0.22436753157526254,0.16526656753073135,0.13662095807492733
22,dry,action_words,verbs,0.25672695219516756,0.2329787179503752,0.2712127112823984,0.20200991362333298,0.23254790933181843
23,dump,action_words,verbs,0.19440362706780434,0.2030121268083652,0.21115341565261284,0.19858922697603704,0.18594066761434078
