,word,category,lexical_class,period0,period1,period2,period3,period4
0,bite,action_words,verbs,0.19698175030450027,0.2418617780866294,0.24341045651170942,0.21169479389985402,0.28185070023454467
1,blow,action_words,verbs,0.10859409554933126,0.17255783503254254,0.1512528711774697,0.14421919429053862,0.15164948912958304
2,break,action_words,verbs,0.1325026160037076,0.22951589676517029,0.2099730338041599,0.2174401897271829,0.17578883642064674
3,bring,action_words,verbs,0.2327240827525484,0.18616808425369008,0.18737977158663602,0.20735042753318947,0.1955725296946435
4,build,action_words,verbs,0.14300081736097733,0.12683645241583388,0.10800319562355677,0.12304513032237689,0.1424312056042254
5,bump,action_words,verbs,0.2122452290797675,0.17369157653944245,0.2045406160940384,0.1538336994126439,0.1575266523907582
6,buy,action_words,verbs,0.13536785064457818,0.17185059575171308,0.1741666448613008,0.21323143653571605,0.23221302820768738
7,carry,action_words,verbs,0.09460594954675641,0.1263232110068202,0.13268219452972213,0.13571335890640815,0.1068574000021507
8,catch,action_words,verbs,0.1718267973139882,0.1917593901141964,0.18053862502177556,0.2158822767308046,0.1983849567671617
9,chase,action_words,verbs,0.07917808137577155,0.14456526276965936,0.12774902813393493,0.15168114618531295,0.1481027452853219
10,clap,action_words,verbs,0.1909726067679003,0.1849706567823887,0.14138325427969298,0.0,0.1156312324727575
11,clean,action_words,verbs,0.18935339885453384,0.2227914982785781,0.24167650693963313,0.2057749959329764,0.19896090071027478
12,climb,action_words,verbs,0.1803563354603414,0.20772876031696796,0.1788180353740851,0.20997544095433993,0.15375702121648296
13,close,action_words,verbs,0.13319431254961367,0.15302005570767255,0.16041225889840952,0.14358860924839972,0.15807245016611857
14,cook,action_words,verbs,0.3610556075970332,0.302273561557134,0.2933539733290672,0.3436479898790518,0.26625875910294466
15,cover,action_words,verbs,0.1168229146502339,0.12064641450756583,0.13979160682194763,0.11729334847380718,0.11125598809328573
16,cry,action_words,verbs,0.21050708644605917,0.23228584841958114,0.20583331997373275,0.2582508772611618,0.19928955994546413
17,cut,action_words,verbs,0.1511506745270614,0.17773397819235406,0.14672466001852794,0.17101404477531712,0.15356293699607768
18,dance,action_words,verbs,0.23610173103710017,0.19529305624642543,0.15590903821090857,0.16426881135751803,0.2058546096086502
19,draw,action_words,verbs,0.14043658027618094,0.15801807220226952,0.15840235097954672,0.1527576107531786,0.12633614130318166
20,drive,action_words,verbs,0.18115325580383168,0.166259558229097,0.17636520192027091,0.16340047319730122,0.1354812390969268
21,drop,action_words,verbs,0.11475752935641342,0.2110645700374554,0.21218339815735818,0.16102724586581363,0.1406237618997693
22,dry,action_words,verbs,0.23875282655159633,0.21250712977988379,0.25249245949089527,0.19856406872471175,0.23125195580309835
23,dump,action_words,verbs,0.1826680718610684,0.1903196597205741,0.19157277767000527,0.19397026256968578,0.18174551309396822
24,eat,action_words,verbs,0.31445324883378784,0.3301624039808909,0.3045183909436067,0.27501647075017294,0.3113892138004303
25,fall,action_words,verbs,0.1448505980701282,0.2397156217745666,0.1779582548748564,0.2064539725581805,0.16860878801551357
26,feed,action_words,verbs,0.17258874929199616,0.1995772104020472,0.18517468649273117,0.1380890452399336,0.1745869573526855
27,find,action_words,verbs,0.2396127953460174,0.2441188419636871,0.27114802077412603,0.21616512474914393,0.12916556087632974
28,finish,action_words,verbs,0.09502614970351088,0.11868448708472508,0.11006096251308918,0.1307797105661754,0.1157180657931443
