,word,category,lexical_class,period0,period1,period2,period3,period4
0,bite,action_words,nouns,0.17840265445411205,0.2633834679921468,0.2019418478012085,0.21025642678141593,0.3353781163692474
1,blow,action_words,nouns,0.12857196107506752,0.17043838202953338,0.1652504655532539,0.17437341399490833,0.13919299617409706
2,break,action_words,nouns,0.09721810329291555,0.2596779159373707,0.226246721111238,0.25083792582154274,0.17893866863515642
3,bring,action_words,nouns,0.2621529640422927,0.19509377237409353,0.21354125421494247,0.18068902790546418,0.21912028640508652
4,build,action_words,nouns,0.2000529833137989,0.1802857846021652,0.1152555400505662,0.13494496289640664,0.15576932299882174
5,bump,action_words,nouns,0.23278494225814939,0.1992666617035866,0.2753122283352746,0.16052998453378678,0.18929892778396606
6,buy,action_words,nouns,0.1514315338805318,0.21725987195968627,0.2411420837044716,0.2687083102762699,0.28085900135338304
7,carry,action_words,nouns,0.08563468568027019,0.10749292094260454,0.1094668572768569,0.11630033124238252,0.14739397391676903
8,catch,action_words,nouns,0.19964465498924255,0.16129789724946023,0.18655757009983062,0.21606319546699523,0.1619782742112875
9,chase,action_words,nouns,0.0782432516829835,0.11612714864313603,0.1728486716747284,0.20136090533600914,0.14250074923038483
10,clap,action_words,nouns,0.2061569450630082,0.15962445214390755,0.13235099986195564,0.0,0.10917165018618107
11,clean,action_words,nouns,0.1692317884415388,0.23565141968429087,0.2787072375416756,0.2301577553153038,0.23692540572956206
12,climb,action_words,nouns,0.18723058942705392,0.309034363925457,0.2076676979660988,0.23820245526731015,0.18456759601831435
13,close,action_words,nouns,0.138111942820251,0.21596307400614023,0.18574229545063442,0.2036470253020525,0.18179174587130548
14,cook,action_words,nouns,0.35960403382778167,0.3505934551358223,0.3536513686180115,0.3661804869771004,0.25574722290039065
15,cover,action_words,nouns,0.12932629717720878,0.1162604143222173,0.13965094578452408,0.12319104969501496,0.12528630470236143
16,cry,action_words,nouns,0.2432273209095001,0.24282942215601602,0.25019202530384066,0.33799339996443856,0.22262448780238628
17,cut,action_words,nouns,0.1411212765508228,0.20404182953966987,0.1440203400949637,0.16144733903929592,0.1762859843671322
18,dance,action_words,nouns,0.26578712794515824,0.2727287769317627,0.16951462104916573,0.20962004959583283,0.2417517772151364
19,draw,action_words,nouns,0.1643143892288208,0.22369921654462815,0.2309779018163681,0.18958392664790152,0.11818725056946278
20,drive,action_words,nouns,0.165460941195488,0.20542246773838996,0.15896703340113164,0.17700024992227553,0.15999906178977755
21,drop,action_words,nouns,0.14252611696720124,0.1932956696384483,0.2759188587466876,0.16175064146518708,0.12431424669921398
22,dry,action_words,nouns,0.2962684638798237,0.25317416257328457,0.34915644079446795,0.25262023583054544,0.21240050196647645
23,dump,action_words,nouns,0.22185443490743637,0.191151312738657,0.24926250278949738,0.2575935870409012,0.23114922512322664
24,eat,action_words,nouns,0.3949380119641622,0.38756052404642105,0.3264713943004608,0.2562872864305973,0.2623256482183933
25,fall,action_words,nouns,0.13475163819061386,0.2506532300263643,0.2140555220345656,0.22863800413906574,0.1874285050564342
