,word,category,lexical_class,period0,period1,period2,period3,period4,period5
0,bite,action_words,verbs,0.24026732040303095,0.22163089127703148,0.23040445253033848,0.25517774522304537,0.23896911548716682,0.259818349140031
1,blow,action_words,verbs,0.13046989809064305,0.16149728800005772,0.16758506008259513,0.16139114046735423,0.1523571906079139,0.1470300170373829
2,break,action_words,verbs,0.22571215110228343,0.23226832619735172,0.21067828056402504,0.2339751902435507,0.2278313265346429,0.2273363082204014
3,bring,action_words,verbs,0.2811435937662335,0.23959224775214405,0.2933044796809554,0.2457189935287743,0.2801779311510824,0.2626669484218865
4,build,action_words,verbs,0.15588612087509213,0.15476414619479328,0.16975042670965196,0.12314422383452907,0.14951070472598077,0.1510947244515752
5,bump,action_words,verbs,0.2135243242716088,0.18700012926231413,0.22530777312137865,0.21294506123023374,0.16173374866518905,0.2147506046475786
6,buy,action_words,verbs,0.24831863558467696,0.21411676185600687,0.23561222686299255,0.2428823195397854,0.2466836898454598,0.2265688718899208
7,carry,action_words,verbs,0.21295089391725405,0.17224998546369147,0.1853842478777681,0.1629109908427511,0.1993870568062578,0.21400870788361756
8,catch,action_words,verbs,0.20240847098038478,0.19976200509284223,0.17153066128958017,0.21987079232931137,0.19085064147199904,0.19526741495638184
9,chase,action_words,verbs,0.19542548975304647,0.19285938377891268,0.15016397387918198,0.1737582960137815,0.17075717997025042,0.15759500599233434
10,clap,action_words,verbs,0.1972909597132136,0.1979777560404995,0.20857268696029982,0.20538785262033343,0.1573267372494394,0.12820058378080526
11,clean,action_words,verbs,0.2497924279202433,0.24323217661091776,0.2625832107356366,0.23013403245380948,0.2147026902393383,0.227225141148224
12,climb,action_words,verbs,0.25126819461584093,0.23269743242246263,0.19071047670920105,0.2336661070020813,0.1973428800702095,0.24002831954170356
13,close,action_words,verbs,0.12268757014809285,0.162343459824721,0.1466589537449181,0.13066306665007557,0.14937387593090534,0.14247455978483864
14,cook,action_words,verbs,0.3462812171450683,0.35597079492041045,0.3565643689462117,0.314217783883214,0.34479035157710314,0.3535795645678745
15,cover,action_words,verbs,0.1558488665414708,0.16026337681846184,0.14279306378653822,0.12844499607703516,0.16170168054454467,0.15341489152474838
16,cry,action_words,verbs,0.21455605782102793,0.2347656310056195,0.23593989603461757,0.2441818191472328,0.2703164278396538,0.2736663236733406
17,cut,action_words,verbs,0.19822865220553734,0.16618824100920132,0.21848434529134206,0.18764051113809857,0.21555624201017268,0.20265806613094878
18,dance,action_words,verbs,0.18550231187574326,0.21529174910392612,0.20542312058387324,0.26660748943686485,0.21825691260164604,0.20213976502418518
19,draw,action_words,verbs,0.16277391373208075,0.13929049558389714,0.15491853677002446,0.16631986878134988,0.17738696605499302,0.18566047613109862
20,drive,action_words,verbs,0.1746431307401508,0.16367436595486873,0.17474694199421825,0.16821613569151272,0.1445220032972949,0.184199997340329
21,drop,action_words,verbs,0.1873805073555559,0.17850729724501863,0.14424636848270894,0.18235513889778623,0.16880990274469643,0.16511120088398457
22,dry,action_words,verbs,0.22377830637352808,0.2558643277202334,0.26184157446465073,0.28460218672241483,0.25403155045849934,0.2307654510745231
23,dump,action_words,verbs,0.2272549048613976,0.22808232926058047,0.229501416853496,0.1948074000504087,0.21368074151022093,0.2201662790030241
24,eat,action_words,verbs,0.36321065246182327,0.30376875762428557,0.3386184112990604,0.3129848776494755,0.3287914486868041,0.3318822223580245
25,fall,action_words,verbs,0.24222595512401313,0.21306086602536115,0.19547933718610194,0.20638050278648734,0.22454768035447958,0.23272194304773886
26,feed,action_words,verbs,0.18363309369394273,0.19279532638542793,0.19097282737493515,0.1710609641364392,0.18731851139455102,0.15834121970516263
27,find,action_words,verbs,0.2977174453888879,0.2824161296976464,0.2745384568292083,0.23363548889756203,0.2644103077107242,0.23288072842885466
28,finish,action_words,verbs,0.14264767808896123,0.12387310052590986,0.1164372144266963,0.10597669633646165,0.12644399019579092,0.10217448233837081
29,fit,action_words,verbs,0.16883205750158856,0.17152805968878732,0.14438288802547114,0.14145221316388676,0.1831099839082786,0.1562461995124591
30,fix,action_words,verbs,0.21657651805264108,0.225570916033843,0.23432236873815138,0.2184582619982607,0.2151800707420882,0.20798872620798647
31,get,action_words,verbs,0.3812156170606613,0.37684641871601343,0.38581526266144855,0.33639634426297815,0.3673604986359996,0.37225163901845615
32,give,action_words,verbs,0.3291012067948618,0.24549531520289533,0.29791682723033075,0.27340300630537734,0.27198949631522684,0.2454760505763047
33,go,action_words,verbs,0.30705109649691087,0.32113569306916206,0.3354354401429494,0.2875582759579023,0.32363281807591837,0.34016933979896397
34,hate,action_words,verbs,0.13304496120129314,0.13962825653808458,0.20908237531060173,0.19104469341762137,0.19577713619385448,0.2723154558263945
35,have,action_words,verbs,0.3353134576952265,0.30807042146722474,0.3283285183771964,0.32431839071214197,0.32918745577335357,0.2794763830357364
36,hear,action_words,verbs,0.2851953939534724,0.30976746827363966,0.2900419032529873,0.26674324146338874,0.26863148329513414,0.2846422367862293
37,help,action_words,verbs,0.1618302472634241,0.15878389438148588,0.1796454868334181,0.18230966129340231,0.14406853409544115,0.19287682979785162
38,hide,action_words,verbs,0.17482214545210203,0.21417502663803822,0.19244053108351572,0.18185176854603924,0.19150339518532608,0.20349047634312334
39,hit,action_words,verbs,0.21287645862227486,0.21903210985615398,0.23526968527585268,0.2263532942443183,0.21607491375471,0.22191994861863992
40,hold,action_words,verbs,0.23810067118278572,0.2404025884016472,0.2191118317523173,0.23958336634677835,0.23059027673942703,0.2163551174894427
41,hug,action_words,verbs,0.25583924437242167,0.2374447868205607,0.21215348865371197,0.2615939790266566,0.24030247790848508,0.27363131579124567
42,hurry,action_words,verbs,0.20104044339349192,0.1955954299774021,0.20565926427802733,0.16281231591898587,0.17505936699947625,0.18774193840037132
43,jump,action_words,verbs,0.21845372359861026,0.16179945191834122,0.19947075913660228,0.22130701609421521,0.1605475882463383,0.2159793563769199
44,kick,action_words,verbs,0.1257950777944643,0.1818484915702632,0.16256106951657465,0.154043740069028,0.16671355182845746,0.14518836594652385
45,kiss,action_words,verbs,0.2400948911785118,0.24354928573875717,0.24275331170065328,0.25142571948949366,0.2542898001149297,0.2495415426674299
46,knock,action_words,verbs,0.1741448988151901,0.18558251334241394,0.21677794510667975,0.18763967198045814,0.2070299842307577,0.1790825437544094
47,lick,action_words,verbs,0.21736801886821494,0.28068561404943465,0.2552448268431951,0.2602900846889525,0.25796482678164134,0.27689057971749986
48,like,action_words,verbs,0.3296326791246732,0.3485184442852774,0.32736112357992114,0.3087820867376943,0.3382441867142916,0.3159681816895803
49,listen,action_words,verbs,0.2347041159642465,0.2426429842457627,0.2225332964444533,0.253331467290135,0.20426673989277333,0.2941171860983295
50,look,action_words,verbs,0.2423726241907169,0.2603231307960326,0.24959812010638416,0.23176152598378913,0.2520575946817795,0.23973536568469014
51,love,action_words,verbs,0.2793490860079016,0.2462121412390843,0.29898331098018155,0.30066864589850106,0.29691319515307746,0.27856046392116696
52,make,action_words,verbs,0.26624641170104346,0.23820964679602655,0.2721735722152516,0.2394331065006554,0.2569213642949058,0.26299251013745867
53,open,action_words,verbs,0.1576454685734851,0.18815741216873422,0.16705476162689073,0.1604526931363525,0.16805946874831404,0.16645472348832033
54,paint,action_words,verbs,0.21580886908552863,0.1886094382361454,0.20138000271150044,0.21713507197359028,0.184246589853005,0.213092404027139
55,pick,action_words,verbs,0.20633363994685086,0.21203621945210865,0.2444860707436289,0.20167729992638617,0.19938277219023023,0.22469885116725258
56,play,action_words,verbs,0.19876408204436302,0.1953296999056493,0.18225110525434668,0.15576797151280677,0.17603492423553357,0.20533572474960238
57,pour,action_words,verbs,0.22071940771171025,0.20952115503742413,0.21001585168497902,0.22664022754345622,0.21401619629136154,0.2444960713824805
58,pretend,action_words,verbs,0.20676126841987882,0.18083950788713993,0.17587440139190716,0.19007441990317836,0.18920761115397466,0.1837497767410241
59,pull,action_words,verbs,0.31550116475139345,0.2807559330548559,0.30789634629207496,0.26704770403311534,0.3080353879502841,0.3039756965111284
60,push,action_words,verbs,0.2450550292251688,0.26392509393832264,0.23778614401817322,0.2164889594714623,0.2533251012542418,0.21496302248252666
61,put,action_words,verbs,0.2917667982833726,0.2647718372089522,0.3139566863802346,0.32291053038309603,0.29672347477504185,0.2612490684471347
62,read,action_words,verbs,0.188320318760816,0.20303224072311865,0.18225045880036694,0.2001275974724974,0.18407127376207533,0.21725442863124259
