,word,category,lexical_class,period0,period1,period2,period3,period4,period5
0,bite,action_words,verbs,0.2453832743068536,0.2180793116401349,0.23801001825680335,0.2603424906730652,0.22830238764484723,0.26765729387601217
1,blow,action_words,verbs,0.13071703255690378,0.16303098779813996,0.16529698756619773,0.14966276853034893,0.14945344847316544,0.15234256086164508
2,break,action_words,verbs,0.2312732345328249,0.23534187078475952,0.21650280803442,0.23960739187896252,0.24253157675266265,0.2269644108083513
3,bring,action_words,verbs,0.31101835030933905,0.25723026159765394,0.30200106361559753,0.25891845731128904,0.28946743639452116,0.25297321851498317
4,build,action_words,verbs,0.16463026314459997,0.14861861762723752,0.16139666587114335,0.1343215691990086,0.15864318267752728,0.14416055688634516
5,bump,action_words,verbs,0.20976392385260811,0.19011485486708837,0.2316504175375615,0.2131465645506978,0.1609063117026255,0.2115824289363006
6,buy,action_words,verbs,0.26542889277140297,0.22697237082596483,0.22941526131083567,0.25370605252683165,0.2544533122330904,0.22264108297725518
7,carry,action_words,verbs,0.21460774193207424,0.17045289783605508,0.17018278750280538,0.16425694699088733,0.21034617771704991,0.21352329560054037
8,catch,action_words,verbs,0.20230488235066676,0.19431763496249915,0.17925168642843212,0.2172414094209671,0.20388336206475893,0.20719572567734226
9,chase,action_words,verbs,0.1902499575788776,0.19310389310121537,0.14663800398080512,0.18512121508164064,0.17943683009723138,0.1660698660250221
10,clap,action_words,verbs,0.196246896966778,0.20301970524777627,0.22685952191906317,0.20883192867040634,0.16027217917144299,0.12493543217665162
11,clean,action_words,verbs,0.2658183171317495,0.24735786534588913,0.2554740254478208,0.23523010015487672,0.22104878015816212,0.23716354689427785
12,climb,action_words,verbs,0.25263105258345603,0.2388477161012847,0.1856523502361158,0.2515775409660169,0.18953069200118383,0.24001559364641534
13,close,action_words,verbs,0.13006817878534396,0.16812761217869562,0.15688979320613475,0.13972276902447145,0.153535302169621,0.14152920824186555
14,cook,action_words,verbs,0.3576613916705052,0.3774490810930729,0.3562457705537478,0.31555675336470207,0.3500124065205455,0.34605469528971045
15,cover,action_words,verbs,0.15843945499509574,0.15850058390662589,0.1375280899348958,0.12995786818986138,0.14491022095598025,0.1590690435520534
16,cry,action_words,verbs,0.22662559704020105,0.24513538873621396,0.23251804723762548,0.2585485089304192,0.27752936370670794,0.2675604447722435
17,cut,action_words,verbs,0.20319328779975573,0.16338598715762298,0.2206880730887254,0.1904017080863317,0.21054505109786986,0.19645015286902587
18,dance,action_words,verbs,0.1992154854994554,0.21598120875380658,0.21704963794244186,0.2680498949926475,0.23007208847061353,0.21815879008284322
19,draw,action_words,verbs,0.17311804409005813,0.1505640728142241,0.17209482692802947,0.17296776734292507,0.1800741259008646,0.19718749597668647
20,drive,action_words,verbs,0.17516180770150547,0.16932187375745603,0.1729600329337449,0.1636397198870264,0.14621130699912707,0.18197171137269055
21,drop,action_words,verbs,0.19033236084160982,0.1856296662369679,0.15370789108177027,0.1960305803262725,0.1708333483929264,0.16285604458036168
22,dry,action_words,verbs,0.23200528075297674,0.26361922547221184,0.25872766701825733,0.29693727965156236,0.24905495569109917,0.23268875068631664
23,dump,action_words,verbs,0.24379911479251137,0.23739315852009016,0.23383169372876486,0.19733033444860887,0.2244920218984286,0.23380287277645298
24,eat,action_words,verbs,0.370775754595625,0.30995820586880046,0.3377655513327697,0.3208366965254148,0.3437316966553529,0.33712893378521713
25,fall,action_words,verbs,0.2500287204704903,0.2238465727403246,0.2038912121206522,0.21271043541907733,0.23173278737170944,0.23161201350964034
26,feed,action_words,verbs,0.19578313029238156,0.19337847263648592,0.1900442068775495,0.17287205133972497,0.1883732589237668,0.15708880177859602
27,find,action_words,verbs,0.31018179089858616,0.2931232168649634,0.2752322835315551,0.23203097617831722,0.28709959601983426,0.24569806559332485
28,finish,action_words,verbs,0.14741239417344332,0.12160861919875499,0.11956956729825054,0.10065378485104212,0.12516809407887713,0.10266981667910631
29,fit,action_words,verbs,0.17315124546488125,0.17191996639249502,0.15307617088158926,0.15036017050345737,0.18173968009650707,0.1498940080757542
30,fix,action_words,verbs,0.2240530807396461,0.2353574240515972,0.23392568073338932,0.23527371112642617,0.2130032074948152,0.21574452493725152
31,get,action_words,verbs,0.38000819459557533,0.3836148502650084,0.37926036104559896,0.336328715706865,0.3713741578437664,0.38092633575201035
32,give,action_words,verbs,0.34213942454920876,0.2662814986603013,0.3178566532402203,0.28070603362802005,0.2946184423976931,0.258730690733626
33,go,action_words,verbs,0.3261828987548749,0.3247242796421051,0.32813951716973233,0.3074814873933792,0.3297492110958466,0.34970480074053223
34,hate,action_words,verbs,0.13390357283254464,0.13538124126692613,0.2117735126700539,0.1883649972492251,0.1967391469826301,0.2687116262085479
35,have,action_words,verbs,0.34392100730194497,0.33839778959751127,0.31664255863198865,0.34818530939519404,0.35124944207760006,0.29450341060757634
36,hear,action_words,verbs,0.31654304541923384,0.32893125688036284,0.2970672793172557,0.26875060151020685,0.2728934579839309,0.3045208672682444
37,help,action_words,verbs,0.16384936470006192,0.16633242688008718,0.18805096683831052,0.1771458910295257,0.15028998656914785,0.19290268374606967
38,hide,action_words,verbs,0.18040365393140487,0.2031276998078001,0.20655706549684208,0.1844634288508031,0.1966704840638808,0.20288129067369576
39,hit,action_words,verbs,0.22141255693579162,0.22412286346246088,0.24058317172306556,0.2308041949210496,0.2206169444169583,0.21851721361022572
40,hold,action_words,verbs,0.2436723021790385,0.24405818240096172,0.21176976021379232,0.23239445476792753,0.23427732313672703,0.2118429505000157
41,hug,action_words,verbs,0.25890354138727373,0.23633828704003934,0.22029095474216673,0.24138319954552032,0.25871875650923826,0.2805776400812741
42,hurry,action_words,verbs,0.21216655465272757,0.20922036176281317,0.2130599105014251,0.15015975905295748,0.1836826986566718,0.2021653563529253
43,jump,action_words,verbs,0.2271862348009433,0.1708470714037065,0.20033180451503507,0.21234218900402388,0.165763043399368,0.2210164153283196
44,kick,action_words,verbs,0.13293269546037273,0.18739333469420671,0.17679863153346653,0.1664900690731075,0.17356174487482617,0.1531016068932201
45,kiss,action_words,verbs,0.23653512125691542,0.23532255659145968,0.23861636297294386,0.2658016494026891,0.2629485195502639,0.2476499040078904
46,knock,action_words,verbs,0.16652265306690645,0.20028805681171694,0.2200690239135708,0.18913248245572223,0.21016212720079003,0.17337999222441935
47,lick,action_words,verbs,0.22500891199913517,0.2858113465209802,0.2712324873126786,0.27869942732926073,0.26539695276213543,0.2807799085974693
48,like,action_words,verbs,0.3207144957780838,0.3427382135907045,0.33232007761086735,0.3080069339619233,0.34265673381310924,0.3195759038682337
49,listen,action_words,verbs,0.2456925661702241,0.24790204901780402,0.23258081964891533,0.257834081505907,0.21317479842238957,0.29484437432672295
50,look,action_words,verbs,0.25330839172005654,0.26000050684580434,0.25220296697484124,0.24732989499655864,0.2524530401883217,0.24557074066251516
