"","word","category","lexical_class"
"202","penis","body_parts","nouns"
"203","shoulder","body_parts","nouns"
"204","toe","body_parts","nouns"
"205","tongue","body_parts","nouns"
"206","tooth","body_parts","nouns"
"207","tummy","body_parts","nouns"
"208","vagina","body_parts","nouns"
"209","basket","household","nouns"
"210","blanket","household","nouns"
"211","bottle","household","nouns"
"212","bowl","household","nouns"
"213","box","household","nouns"
"214","broom","household","nouns"
"215","brush","household","nouns"
"216","bucket","household","nouns"
"217","camera","household","nouns"
"218","can","household","nouns"
"219","clock","household","nouns"
"220","comb","household","nouns"
"221","cup","household","nouns"
"222","dish","household","nouns"
"223","fork","household","nouns"
"224","garbage","household","nouns"
"225","glass","household","nouns"
"226","glasses","household","nouns"
"227","hammer","household","nouns"
"228","jar","household","nouns"
"229","keys","household","nouns"
"230","knife","household","nouns"
"231","lamp","household","nouns"
"232","light","household","nouns"
"233","medicine","household","nouns"
"234","money","household","nouns"
"235","mop","household","nouns"
"236","nail","household","nouns"
"237","napkin","household","nouns"
"238","paper","household","nouns"
"239","penny","household","nouns"
"240","picture","household","nouns"
"241","pillow","household","nouns"
"242","plant","household","nouns"
"243","plate","household","nouns"
"244","purse","household","nouns"
"245","radio","household","nouns"
"246","scissors","household","nouns"
"247","soap","household","nouns"
"248","spoon","household","nouns"
"249","tape","household","nouns"
"250","telephone","household","nouns"
"251","tissue","household","nouns"
"252","toothbrush","household","nouns"
"253","towel","household","nouns"
"254","trash","household","nouns"
"255","tray","household","nouns"
"256","vacuum","household","nouns"
"257","walker","household","nouns"
"258","watch","household","nouns"
"259","basement","furniture_rooms","nouns"
"260","bathroom","furniture_rooms","nouns"
"261","bathtub","furniture_rooms","nouns"
"262","bed","furniture_rooms","nouns"
"263","bedroom","furniture_rooms","nouns"
"264","bench","furniture_rooms","nouns"
"265","chair","furniture_rooms","nouns"
"266","closet","furniture_rooms","nouns"
"267","couch","furniture_rooms","nouns"
"268","crib","furniture_rooms","nouns"
"269","door","furniture_rooms","nouns"
"270","drawer","furniture_rooms","nouns"
"271","dryer","furniture_rooms","nouns"
"272","garage","furniture_rooms","nouns"
"273","high chair","furniture_rooms","nouns"
"274","kitchen","furniture_rooms","nouns"
"275","living room","furniture_rooms","nouns"
"276","oven","furniture_rooms","nouns"
"277","play pen","furniture_rooms","nouns"
"278","porch","furniture_rooms","nouns"
"279","potty","furniture_rooms","nouns"
