,word,category,lexical_class,polysemy
366,sister,people,other,4
367,teacher,people,other,2
368,uncle,people,other,2
369,bath,games_routines,other,7
370,breakfast,games_routines,other,3
371,bye,games_routines,other,2
372,call,games_routines,other,41
373,dinner,games_routines,other,2
374,give_me_five,games_routines,other,0
375,gonna_get_you,games_routines,other,0
376,go_potty,games_routines,other,0
377,hello,games_routines,other,1
378,hi,games_routines,other,2
379,lunch,games_routines,other,3
380,nap,games_routines,other,6
381,night_night,games_routines,other,0
382,no,games_routines,other,6
383,pattycake,games_routines,other,0
384,peekaboo,games_routines,other,1
385,please,games_routines,other,4
386,shh,games_routines,other,0
387,shopping,games_routines,other,6
388,snack,games_routines,other,2
389,so_big,games_routines,other,0
390,thank_you,games_routines,other,1
391,this_little_piggy,games_routines,other,0
392,turn_around,games_routines,other,4
393,yes,games_routines,other,1
394,bite,action_words,verbs,13
395,blow,action_words,verbs,29
396,break,action_words,verbs,75
397,bring,action_words,verbs,11
398,build,action_words,verbs,12
399,bump,action_words,verbs,8
400,buy,action_words,verbs,6
401,carry,action_words,verbs,41
402,catch,action_words,verbs,39
403,chase,action_words,verbs,7
404,clap,action_words,verbs,10
405,clean,action_words,verbs,31
406,climb,action_words,verbs,9
407,close,action_words,verbs,37
408,cook,action_words,verbs,7
409,cover,action_words,verbs,36
410,cry,action_words,verbs,12
411,cut,action_words,verbs,70
412,dance,action_words,verbs,7
413,draw,action_words,verbs,45
414,drive,action_words,verbs,34
415,drop,action_words,verbs,32
416,dry,action_words,verbs,19
417,dump,action_words,verbs,10
418,eat,action_words,verbs,6
419,fall,action_words,verbs,44
420,feed,action_words,verbs,13
421,find,action_words,verbs,18
422,finish,action_words,verbs,15
423,fit,action_words,verbs,16
424,fix,action_words,verbs,17
425,get,action_words,verbs,37
426,give,action_words,verbs,45
427,go,action_words,verbs,35
428,hate,action_words,verbs,2
429,have,action_words,verbs,20
430,hear,action_words,verbs,5
431,help,action_words,verbs,12
432,hide,action_words,verbs,6
433,hit,action_words,verbs,24
434,hold,action_words,verbs,45
435,hug,action_words,verbs,3
436,hurry,action_words,verbs,6
437,jump,action_words,verbs,21
438,kick,action_words,verbs,14
439,kiss,action_words,verbs,6
440,knock,action_words,verbs,11
441,lick,action_words,verbs,7
442,like,action_words,verbs,11
443,listen,action_words,verbs,3
444,look,action_words,verbs,14
445,love,action_words,verbs,10
446,make,action_words,verbs,51
447,open,action_words,verbs,36
448,paint,action_words,verbs,7
449,pick,action_words,verbs,21
450,play,action_words,verbs,52
451,pour,action_words,verbs,6
452,pretend,action_words,verbs,8
453,pull,action_words,verbs,24
454,push,action_words,verbs,15
455,put,action_words,verbs,10
456,read,action_words,verbs,12
457,ride,action_words,verbs,16
458,rip,action_words,verbs,8
459,run,action_words,verbs,57
460,say,action_words,verbs,12
461,see,action_words,verbs,25
462,shake,action_words,verbs,15
463,share,action_words,verbs,10
464,show,action_words,verbs,16
465,sing,action_words,verbs,5
466,sit,action_words,verbs,10
467,skate,action_words,verbs,3
468,sleep,action_words,verbs,6
469,smile,action_words,verbs,3
470,spill,action_words,verbs,10
471,splash,action_words,verbs,13
472,stand,action_words,verbs,24
473,stay,action_words,verbs,16
474,stop,action_words,verbs,22
475,sweep,action_words,verbs,15
476,swim,action_words,verbs,6
477,take,action_words,verbs,44
478,talk,action_words,verbs,11
479,taste,action_words,verbs,13
480,tear,action_words,verbs,9
481,think,action_words,verbs,14
482,throw,action_words,verbs,20
483,tickle,action_words,verbs,5
484,touch,action_words,verbs,27
485,wait,action_words,verbs,6
486,wake,action_words,verbs,9
487,walk,action_words,verbs,17
488,wash,action_words,verbs,21
489,wipe,action_words,verbs,2
490,wish,action_words,verbs,10
491,write,action_words,verbs,10
492,all_gone,descriptive_words,adjectives,0
493,asleep,descriptive_words,adjectives,5
494,awake,descriptive_words,adjectives,3
495,bad,descriptive_words,adjectives,17
496,better,descriptive_words,adjectives,50
497,big,descriptive_words,adjectives,17
498,black,descriptive_words,adjectives,22
499,blue,descriptive_words,adjectives,16
500,broken,descriptive_words,adjectives,72
501,brown,descriptive_words,adjectives,8
502,careful,descriptive_words,adjectives,5
503,cold,descriptive_words,adjectives,16
504,cute,descriptive_words,adjectives,2
505,dark,descriptive_words,adjectives,16
506,dirty,descriptive_words,adjectives,13
507,empty,descriptive_words,adjectives,10
508,fast,descriptive_words,adjectives,15
509,fine,descriptive_words,adjectives,10
510,first,descriptive_words,adjectives,16
511,full,descriptive_words,adjectives,13
512,gentle,descriptive_words,adjectives,10
513,good,descriptive_words,adjectives,27
514,green,descriptive_words,adjectives,14
515,happy,descriptive_words,adjectives,4
516,hard,descriptive_words,adjectives,22
517,heavy,descriptive_words,adjectives,30
518,high,descriptive_words,adjectives,18
519,hot,descriptive_words,adjectives,21
520,hungry,descriptive_words,adjectives,2
521,hurt,descriptive_words,adjectives,14
522,last,descriptive_words,adjectives,21
523,little,descriptive_words,adjectives,10
524,long,descriptive_words,adjectives,12
525,loud,descriptive_words,adjectives,4
526,mad,descriptive_words,adjectives,4
527,naughty,descriptive_words,adjectives,2
528,new,descriptive_words,adjectives,12
529,nice,descriptive_words,adjectives,6
530,noisy,descriptive_words,adjectives,2
531,old,descriptive_words,adjectives,9
532,poor,descriptive_words,adjectives,7
533,pretty,descriptive_words,adjectives,3
534,quiet,descriptive_words,adjectives,13
535,red,descriptive_words,adjectives,7
536,sad,descriptive_words,adjectives,3
537,scared,descriptive_words,adjectives,4
538,sick,descriptive_words,adjectives,9
539,sleepy,descriptive_words,adjectives,1
540,slow,descriptive_words,adjectives,11
541,soft,descriptive_words,adjectives,20
542,sticky,descriptive_words,adjectives,5
