,local,global
you,0.0006715497549842386,0.12226245024351556
be,0.0007352213705739667,0.14722763793665206
the,0.0005782354961742054,0.16844489462966095
do,0.0005067450659615653,0.21554441124866774
it,0.0003706440329551697,0.16779661507002175
$name$,0.0004461968646329992,0.17410514385061404
that,0.000633925199508667,0.15262821945353955
a,0.0003946572542190552,0.14284561868448853
what,0.0009351952655895336,0.1926978584760899
i,0.0006094649434089661,0.18113380127030343
to,0.00041001333909876207,0.1408125472750229
nan,0.0034893506612533177,0.08034772069328489
and,0.0005739836981802275,0.15445948503332152
go,0.0008066346247990926,0.19668273998809305
oh,0.00052229778186695,0.24639828203616587
we,0.0005552010102705522,0.1291992497711666
in,0.0006430004094098065,0.18167319452950215
there,0.000983186893992954,0.19966497998638522
have,0.00031840981859149355,0.10990388516468586
on,0.0012321601042876373,0.14792560181060255
he,0.001042113159642075,0.14814164741190705
this,0.0006759558405194963,0.24517390754829416
get,0.0008070203993055555,0.14880576742743545
can,0.0003526415675878525,0.15983200907302886
your,0.0014928728342056274,0.10494444595781449
no,0.0004460667118881688,0.24876786006886853
one,0.001171817382176717,0.18444152042059359
okay,0.0006784272916389234,0.15969326456949662
look,0.0010537415742874145,0.1622976260975043
like,0.0007581251008169992,0.15113005967680793
here,0.0008052256372239855,0.1652666009738354
want,0.0006954489332256895,0.15313350671507053
see,0.000513638320722078,0.14594007433299494
they,0.0002837277227832425,0.2119320689547054
put,0.0009415520204080118,0.11468065921982051
of,0.0005433474268232073,0.2921623832728204
yes,0.0005704214175542196,0.2578334496634638
right,0.0015382121006647746,0.2910734210875471
yeah,0.000781094705736315,0.24387017902955177
think,0.0005784718429341036,0.1793100447097239
me,0.0005635768175125122,0.16662286439487073
she,0.0009537808822863029,0.16974912658139585
where,0.0007524268967764718,0.19404256366893768
for,0.0009250998497009278,0.2423741317435375
with,0.0005313345364161901,0.22688850362001167
not,0.0008808187076023646,0.22095104434488522
know,0.0007251881890826755,0.23434882500621468
now,0.0007318519055843353,0.13176118720776475
come,0.001658043800256191,0.18253315478823307
say,0.0009820597512381418,0.21478362962556408
good,0.001094939187169075,0.18022240697496117
up,0.0014429813937137002,0.24763032578553523
well,0.0006848301206316266,0.2292139962794757
at,0.0013203946026888761,0.24911671293094617
all,0.0008362084627151489,0.329609946678016
will,0.0004892945289611816,0.24726928748269006
some,0.0008914084995494169,0.18170333700866692
let,0.0006527629765597256,0.17460603273959407
then,0.00046303626653310413,0.18240828903688622
just,0.0002732709050178528,0.157101720437951
so,0.00041218655450003485,0.2755284892692952
them,0.000688416342581472,0.1596212994048435
little,0.001819874346256256,0.2429086184872148
how,0.001466456297281626,0.252574093888566
out,0.0011010671916760896,0.22460138173598698
who,0.0009040817618370056,0.17798230377266044
make,0.0010059507269608347,0.22559396981837176
but,0.0004077911376953125,0.21487879551432365
if,0.00045781366286739227,0.18223452599612977
down,0.0008023568562098912,0.19193471448044497
her,0.0011457331252820563,0.20709802208295813
because,0.00022356398403644562,0.18801348272702856
about,0.0012897342443466187,0.2056727978395616
play,0.0006869203514522976,0.19182387421520586
eat,0.0007171478026952499,0.18777334785973243
my,0.0015432933966318767,0.1650591266747622
when,0.0005132700945879962,0.21047831471970868
big,0.001540859043598175,0.2584516400297656
take,0.0011732247140672472,0.2225903537499071
his,0.001307447167003856,0.12332225141932396
very,0.0006115709032331195,0.20029946140514854
back,0.0007355748078761956,0.23603445440063509
baby,0.001032170411702749,0.15433104242103013
tell,0.0017871669360569546,0.1956053543963444
him,0.0006837652010076187,0.19899624590122245
over,0.0011460930109024048,0.17111204931989343
more,0.0012630911973806529,0.1980181163780409
why,0.001015993527003697,0.2856540456908765
or,0.000657000039753161,0.24137094027613548
too,0.0012405756357553844,0.20103414321007163
hm,0.0013522156854955162,0.17513523364689887
nice,0.0011540683540138038,0.1370138331801939
two,0.0009502786047318403,0.19141561059512924
off,0.0011209168949642696,0.41540961470414695
these,0.0008650973439216613,0.16960454510854517
sit,0.0012324733866585626,0.2303135665885292
thing,0.0012288903578733786,0.25736577982955866
huh,0.0006962436086991254,0.2587858979838137
those,0.0006611423614697579,0.19965627560409827
need,0.00040244559446970624,0.2507953667545587
gonna,0.0006384884609895594,0.1668413711174217
real,0.0009559094905853271,0.23809889294223674
give,0.001210442611149379,0.18513001046591548
have_to,0.0002793344584378329,0.19555303366626542
book,0.0012497857213020324,0.22036259734410113
else,0.002091696387843082,0.21314689065154613
car,0.00048437629427228656,0.2517216951187179
boy,0.0015199619370537835,0.3771974297252124
shall,0.0005760546773672104,0.1683397911998058
alright,0.0009948815170087312,0.1482586159591649
could,0.000755533150264195,0.31297872619654665
bit,0.0014743362154279436,0.23797632586787032
something,0.0014647872020036746,0.29173689665288716
other,0.0014856081259878057,0.2485775494301109
time,0.0014253480093819753,0.22710378669193299
find,0.0014618876818064098,0.18462907171507914
color,0.0011328491899702284,0.13862496310977812
again,0.0010428987443447113,0.2602527140070695
another,0.0010054409503936768,0.16770405402968058
way,0.0014509543776512145,0.23150434273097742
call,0.0012532149042401995,0.2512183114665799
happen,0.0018299344258430677,0.30447106015193304
should,0.0006680815450606808,0.24665758309581487
please,0.0007224034618686985,0.2682017844983958
house,0.0013874060398823506,0.27077600333754237
try,0.0012935889072907276,0.25625326294828465
girl,0.0014846076567967732,0.2211594509246051
from,0.000845579637421502,0.20088259025168842
turn,0.0016195274688102104,0.2517520367163949
remember,0.0011354935796637285,0.2790921636381858
as,0.0017330839827254011,0.2468496942801519
fall,0.0009959987231663294,0.18805855947532468
any,0.0006504058837890625,0.20892821264911376
today,0.000599397931780134,0.4507541128144278
ah,0.0011134999138968332,0.2184342285858164
read,0.0017161369323730469,0.27320638386091567
away,0.00145435631275177,0.2724407048771821
help,0.0017890486606331759,0.2494939401452858
hand,0.0008696963389714559,0.42950747854433313
uhhuh,0.0017898304517879042,0.19790606193149163
dog,0.0015097310145696004,0.2986096946159337
love,0.001453087880061223,0.22426323080729227
watch,0.0027198066582550876,0.24294281683276597
red,0.001213722156755852,0.2782300560089004
use,0.0010959463460104807,0.17434222312294956
maybe,0.0007004480104188662,0.23599462662512916
talk,0.0011438227988578179,0.2203405711907367
open,0.001252587024982159,0.1754843388583227
fun,0.0011117254432878997,0.30048794672862766
three,0.00026702682177225746,0.28034986173276366
work,0.002365740445943979,0.21753863972994392
show,0.0017212972044944764,0.294701574638098
train,0.0008152257651090622,0.21779212079100396
which,0.0018615799072461252,0.30814664049274165
box,0.000954659448729621,0.20085534048422693
name,0.001148823429556454,0.34609810016665277
man,0.0007929340485603579,0.20177119134449462
blue,0.0009757626441217238,0.30842817450420346
wait,0.0022116255115818334,0.16620785802961735
water,0.000965765118598938,0.36008926602483715
ball,0.0014409636839842184,0.2887656741245611
bed,0.00149895293372018,0.2948409510105079
wanna,0.000750068255833217,0.33457072719634684
mm,0.0011470731761720446,0.2928367465442967
day,0.0014028717310000688,0.15272424795425166
thank,0.0008786862546747381,0.429414225920562
picture,0.001629399401800973,0.18872180249922754
minute,0.0008123645911345611,0.21040959455669073
piece,0.0012472159153706318,0.21690461127451355
wow,0.0015641435196525172,0.2282708360479747
mean,0.0009058486012851491,0.2641759889580041
first,0.0008672128121058146,0.19647652632561907
mommy,0.0014057384954916465,0.23625237981348968
sleep,0.0008665084838867188,0.1915286956514557
person,0.0007968693971633911,0.2680645367427462
hold,0.0014480480125972203,0.18157305496589293
green,0.0009860063300413243,0.31559579794150483
hear,0.0014124332052288632,0.15770880511884566
school,0.001202702522277832,0.32582328281651396
hey,0.0015970829286073383,0.2795100173332129
toy,0.0014482183115822928,0.41114020580059263
sure,0.001740198386342902,0.2423804965392795
home,0.0018137296040852864,0.309902042956259
into,0.00104674872230081,0.13819733537509105
chair,0.00164422844395493,0.25215186051476624
drink,0.000445711612701416,0.3148998835867802
darling,0.0010151358751150279,0.1933382579726184
kind,0.0015026057088697278,0.26042236790584394
cat,0.002343074841932817,0.23384473267973793
us,0.0008694376264299665,0.2263652986250465
leave,0.0015862405300140381,0.2359270115673443
horse,0.0010223020525539622,0.2506709430262577
ready,0.001398619933006091,0.28088795601428906
bring,0.0016418036661650006,0.25761701585152585
stick,0.00169853970061901,0.18639013435584217
keep,0.0020046934485435488,0.1928600827300042
head,0.0011080486906899346,0.3317001162321065
hello,0.0011022624216581647,0.14809775576899264
round,0.0008904486894607544,0.26210206463394736
might,0.0008551713192101681,0.3694363258895046
thank_you,0.0006372551123301188,0.31906692397578973
door,0.0011627282415117535,0.26004717179992765
finish,0.0018047722610267432,0.20202832304863716
push,0.0011271470122867161,0.23012411884762607
much,0.0019252613971107884,0.24063401313934063
around,0.001121380262904697,0.27969136326270094
daddy,0.0012210842810179059,0.2873780491797636
dear,0.0011481185754140218,0.24386100022966783
many,0.0013230584169688978,0.3670790804495663
yellow,0.001031806974700003,0.2848096473740531
throw,0.0011100345536282188,0.28585762708670404
break,0.0010822858565892929,0.19362393965888236
next,0.0023137283952612627,0.1605164165430215
through,0.0012170170482836272,0.2221730693236671
still,0.0013098103158614214,0.22151944432531023
story,0.0013542694923205252,0.26301041107933965
hat,0.0008899501391819545,0.21035123389265453
lot,0.00187789266173904,0.23673458505262668
eye,0.0012457287973827785,0.1925968947269927
foot,0.0011734870763925405,0.3396857676740338
by,0.0022129808601580167,0.23450097910026702
truck,0.0007209335054670061,0.1982285042394729
pick,0.0015130319246431676,0.22282109287979235
pretty,0.001238484131662469,0.24081502184858705
bear,0.0013912740875692928,0.2590793476522971
anything,0.0016722247004508973,0.26292829935023987
long,0.0018336831069574123,0.23866501423890107
milk,0.0005325097590684891,0.23140840647826644
move,0.0018191238244374592,0.25811680318981367
only,0.0011209652230546282,0.3990406632354836
stop,0.0019675248708480443,0.28178313802597144
table,0.0008231699466705322,0.24330870901819868
buy,0.0013298213481903077,0.19784663329758045
top,0.0014942358521854177,0.2568467383371944
hair,0.000841365048759862,0.3037513373264997
four,0.00045571128527323405,0.2551753716479592
honey,0.0008888389613177325,0.22243862809255444
cup,0.000727173053857052,0.2621189638247855
animal,0.001081563745226179,0.3939784886836333
room,0.0014330052040718696,0.21224777753818225
mouth,0.0011527789266485918,0.29447788185708135
before,0.0008867919445037842,0.2881004046101865
morning,0.0014018181598547733,0.20447540300663802
drive,0.0005296626511742087,0.18404366146502504
start,0.0021654291030688165,0.22391876901345387
stay,0.0026970009009043374,0.2351258043237331
nose,0.0008929610252380371,0.17918356511141453
last,0.0012006680170694986,0.19104106058595494
after,0.0013866856694221496,0.21750848605766704
pull,0.0013216631753104073,0.2516675803684675
shoe,0.0004716953810523538,0.2582766652796561
hurt,0.0013301904137070115,0.19144719323504433
our,0.0012376046762233826,0.2618142902017949
wash,0.0006291610854012626,0.2149486198409163
fish,0.001526877686784074,0.23712684482976565
sing,0.0013914090745589312,0.2465927573793144
walk,0.001576797664165497,0.18768733749965483
juice,0.0010057820214165582,0.24050669686766235
five,0.00021178523699442545,0.2578619233269336
outside,0.0012849602434370252,0.12859360706959222
run,0.0015111433135138617,0.18408510402060108
silly,0.0011261003358023507,0.23132767307539281
egg,0.0008363934124217314,0.23353870757142525
floor,0.001414462924003601,0.2825011291413013
draw,0.0009108999880348764,0.22291638616988874
night,0.0006560254842042923,0.2171345518830088
food,0.0011033217112223308,0.18463259260744092
orange,0.001000184565782547,0.2800098589143749
tea,0.0008878211180369059,0.2934991481698358
cow,0.0008570154507954916,0.34221174825615
their,0.0009807364808188544,0.28652417552638787
tree,0.0017426647245883942,0.20537276979133468
hi,0.0009324266797020322,0.24165895934888404
pig,0.002459519250052316,0.3755912021459983
fit,0.001452587371648744,0.27565150143551875
ask,0.0019673796800466683,0.24527055053021574
bag,0.0010150916436139274,0.24060654466083864
close,0.0012862572544499447,0.32570519163641287
pardon,0.001274837553501129,0.25377195997061575
write,0.0009237237465687287,0.2518281439673504
stand,0.001529864775828826,0.342780901426491
bye,0.0020485474513127254,0.27002928660596925
together,0.0020079839797247025,0.2852483182317862
must,0.0009262852179698455,0.23628293019444713
shop,0.001422526063145818,0.23806777485902886
hard,0.0017160531636830922,0.2993640297998762
friend,0.001645966982230162,0.18671074273044574
new,0.002527148336977572,0.19780768214357258
jump,0.0015015568052019392,0.253712202375315
paper,0.0010927869723393368,0.24506271980176741
ride,0.001333794810555198,0.23735231138048407
bird,0.0013174704142979213,0.31766328132885757
wear,0.0011341898672042354,0.30445450300867627
feel,0.0013360258860465807,0.27106494804045156
great,0.0015369772911071778,0.2783916521913846
though,0.00233917052929218,0.263881120288446
sorry,0.0010670713015965053,0.34918715568864045
sound,0.0016858754931269465,0.36059856962985504
face,0.0011854418894139732,0.2144027184613666
number,0.0004750115530831473,0.18817274055402622
apple,0.000669733170540102,0.30595942627059114
noise,0.0018796010149849786,0.25379774560660184
yet,0.001466353197355528,0.25077058669361774
clean,0.0011716557271552808,0.29204055136594964
got_to,0.0007890380091137356,0.29633803942983994
old,0.002471329310001471,0.27824345869511424
light,0.0016496453966413226,0.16085566700671816
cake,0.0007856675556727819,0.24519898307077026
hot,0.0016479572734317265,0.21079781243014561
elephant,0.0010533897500289114,0.19475750034541983
uhoh,0.0012347462930177387,0.3053476898881017
inside,0.0016030427955445788,0.3760793318457083
never,0.002974858650794396,0.3079643335582045
cut,0.001077829088483538,0.3741382710364931
different,0.0015302780197887886,0.2031137707428875
duck,0.0017762474111608557,0.30814680120156934
letter,0.0005433191271389232,0.26943354283370125
bus,0.0013397429138422012,0.2771825488883677
hungry,0.001460098303281344,0.20693078528988273
later,0.0012873589992523193,0.3191790846292385
tire,0.0016233776066754315,0.3442656333498778
catch,0.0012649668229592812,0.4703271337649618
careful,0.0012911124662919478,0.30033977618481744
page,0.001499306864854766,0.31581982052657487
while,0.0019264698028564453,0.25752735166921903
live,0.0021492747160104606,0.3086661954250376
side,0.0017551978429158528,0.20644140713061587
enough,0.00209550595865017,0.18123174734397451
ooh,0.0012209573212791892,0.2390048043607247
job,0.0017518656594412668,0.3766092483968585
cold,0.0019765083606426534,0.3349143477155051
chicken,0.0011113149779183524,0.4272650955643653
actual,0.0011133771193654913,0.3240850045250998
doll,0.0011978715658187867,0.3194435096289253
fire,0.0014455372636968439,0.3728321776611544
finger,0.0014199324556299158,0.27396193800469115
under,0.0016051133473714192,0.2966962749746124
cry,0.00144906946130701,0.1515340834330433
hide,0.002127186954021454,0.2818546125060304
even,0.0016465171789511656,0.4317182584231798
suppose,0.0012504993340907954,0.21113791538330928
stuff,0.0018304213881492615,0.31209695701769635
oops,0.0014373762266976493,0.2965965414817219
listen,0.0012586338179452078,0.23321535774809543
dress,0.000906389771085797,0.33063060467403516
out_of,0.0017538278601890386,0.42049484071403387
same,0.002151990220660255,0.35554679467318273
kiss,0.0018043485847679345,0.3808847056006519
cookie,0.0005650101481257258,0.32597674218713557
cheese,0.00042933751555050123,0.43520458678054674
game,0.0012274467282825047,0.21680020863679728
guy,0.001808573305606842,0.371701253846347
probable,0.001333927496885642,0.16781136490989879
quick,0.0023929257141916374,0.21033074237444072
than,0.0012778793062482561,0.25419062854537544
tape,0.0016162310327802385,0.30363470282229676
ear,0.0011076182126998901,0.2656296058482822
build,0.0017000114595567858,0.26856966219349765
small,0.0018731985773359026,0.34573233502393685
whoops,0.0012195513528936049,0.3382363733328321
happy,0.0016596424273955517,0.23012239639428012
quite,0.0012230464390345982,0.31445956913589523
wee,0.003297212961557749,0.3750007649966861
somebody,0.0014687964790745785,0.3177731125552732
poor,0.0013674513289802953,0.2687658677004132
everything,0.0017441494124276298,0.23390728083382417
fix,0.002027707222180489,0.29059139168059556
matter,0.003980093711131328,0.2928746926850492
money,0.000753375616940585,0.2565227160221928
lady,0.0020207292155215613,0.28126555635559636
farm,0.0017418723839979905,0.3705540745892929
fly,0.0014149003169115853,0.3315119810080157
roll,0.0023888395382807804,0.3128188221686664
leg,0.0009483405521937779,0.19785641165120427
wonder,0.0019268572330474853,0.29325858392447435
flower,0.0013202735871979685,0.36717362220827876
block,0.0012902350802170602,0.28461588819024264
white,0.0011902108336939957,0.23162585388460066
end,0.0024424267978203004,0.2770117096559448
pretend,0.002041227933837146,0.4416151764162324
yourself,0.0022563434935904837,0.3037577124611658
six,0.00018889456987380981,0.2704653605109848
word,0.0011286349857554717,0.20807123120235926
ever,0.0017897103513990129,0.26263147093193484
blow,0.0029124354614930995,0.32899618973681855
touch,0.0022802368590706273,0.20454940267569965
pop,0.0036317331450326103,0.2400731032642326
window,0.001941069578513121,0.46569837803299796
pot,0.001535905258996146,0.4492725725454233
miss,0.0022060588002204896,0.3120180149353755
bath,0.0010994523763656616,0.24210826592143053
breakfast,0.0007851527017705581,0.35335738683206874
yesterday,0.0015370684701043206,0.24448429570790553
bite,0.002000733863475711,0.25046847578826936
care,0.0026737477468407674,0.35066126009953036
place,0.0020408034324645996,0.2282597419875747
forget,0.0034877187327334754,0.2797106633214196
lots_of,0.0016391202807426453,0.30859917749952315
idea,0.0028919665252461154,0.2768961456981449
lose,0.0024020299315452576,0.2739481478125595
mess,0.002133969962596893,0.22702929120099336
party,0.0010977351304256554,0.4480728778798776
yours,0.0032321959733963013,0.22596576621217113
gotta,0.0010958798229694366,0.26232280014575127
week,0.0010268994740077427,0.26233788380495804
monkey,0.0022579715365455264,0.2909300537987911
bad,0.0016404776959805876,0.23821487106132533
lunch,0.0009456160995695326,0.19636548380277818
kid,0.0014148107389124428,0.30345265386505416
arm,0.000852875171169158,0.353638329392301
boat,0.001915224500604578,0.2543402289331105
dinner,0.0006908967214472153,0.4039159131514306
sun,0.001641430173601423,0.5028869016056172
always,0.0014231863774751361,0.30858389179286516
plate,0.0009652062466270045,0.2256910707234112
song,0.0016788065433502198,0.19355796685450521
tooth,0.0016888901591300964,0.3699385184363786
mom,0.0014886277062552316,0.2693703355469741
swim,0.0008701930443445841,0.22414381199830236
