,word,category,lexical_class,period0,period1,period2,period3,period4,period5,period6,period7,period8,period9,period10
0,bite,action_words,nouns,0.18838429739698767,0.1638805080205202,0.21354650431557706,0.15963571183383465,0.259664780607349,0.1971574889495969,0.23104524239897728,0.18305670022964476,0.2067109128460288,0.1719098350033164,0.27341212145984173
1,blow,action_words,nouns,0.10841166768223047,0.15453736732403436,0.16779734919729986,0.12942499094642698,0.16933639477938414,0.11096091959625483,0.20238320603966714,0.1629177594764365,0.15385122685693203,0.13503744644112886,0.17547540503897166
2,break,action_words,nouns,0.10569323815013233,0.18689007684588432,0.2077598522760366,0.18208419766865278,0.21816269382834436,0.15549772850384838,0.20944736786186696,0.18165308739989997,0.2050324220210314,0.16445995147805662,0.2251858454393713
3,bring,action_words,nouns,0.18529598993298255,0.16263341751733892,0.2342105031013489,0.146867851285558,0.16807548103756026,0.17580996522385822,0.18065149802714586,0.15766948889940977,0.22330514900386333,0.09018147325045184,0.21319992516778016
4,build,action_words,nouns,0.11804683394730091,0.16021756608696544,0.1716067623347044,0.09643778353929519,0.10808579893782735,0.08794652987271548,0.1320228927621716,0.12074262305702034,0.06927904805266544,0.15574947511777282,0.14868217715993523
5,bump,action_words,nouns,0.21733463888889865,0.2021490102633834,0.19953682078048587,0.20243183616548777,0.20248575699515642,0.1636163445189595,0.23180801570415496,0.1750448820181191,0.14948837785050273,0.19731244668364525,0.16553973518311976
6,buy,action_words,nouns,0.09529041843488813,0.11260850845198882,0.12286323588341475,0.12473665717989206,0.19019720032811166,0.15004905667155982,0.1349021913483739,0.13373451787782342,0.10761374942958354,0.18732711244374514,0.24623890072107316
7,carry,action_words,nouns,0.08385307122953237,0.1282813115731666,0.09682952887378633,0.09426765330135822,0.08376668279783593,0.11468558052652761,0.1210678095292104,0.09011270315386355,0.1279646466486156,0.08048218097537756,0.09067758555627531
8,catch,action_words,nouns,0.16425664634688905,0.1550922892987728,0.13870539908346377,0.1498528491705656,0.14580069916943708,0.1614725787192583,0.17578376496308729,0.13847104236483573,0.2089335609227419,0.20659277588129044,0.15206110591275823
9,chase,action_words,nouns,0.08256064894560136,0.11286681650304481,0.1284475728869438,0.1085701135918498,0.1652372506888289,0.09124636058695615,0.13428376875817777,0.11317837927490473,0.1543632185086608,0.15424569956958295,0.1482622839118305
10,clap,action_words,nouns,0.12681689434684812,0.1778707519173622,0.1532381731820734,0.17798992639614475,0.19111846536397933,0.14120322223752738,0.16824293434619902,0.2002358019351959,0.13879886230355815,0.0,0.11445387918502092
