,word,category,lexical_class,period0,period1,period2,period3,period4,period5
0,bite,action_words,verbs,0.2961357332766056,0.27820546478033065,0.2628113329410553,0.23976381309330463,0.24393949173390866,0.268085904811558
1,blow,action_words,verbs,0.1486943525262177,0.14117747340351344,0.137583848554641,0.13792801001354268,0.1591008326038718,0.10274809286929668
2,break,action_words,verbs,0.2674888556725101,0.23394406596198677,0.22105850410812042,0.24012649171054362,0.2001546108060413,0.2763160539692954
3,bring,action_words,verbs,0.26570195853710177,0.2964778741200765,0.2549742912873626,0.2787758362920661,0.24274612115696073,0.30614559082314374
4,build,action_words,verbs,0.16125063865298503,0.17516236929222942,0.10149572174996138,0.15628708070144057,0.1796647840179503,0.1811115370181046
5,bump,action_words,verbs,0.1952902376651764,0.21861584063031173,0.21538851223886013,0.21407167927214973,0.20961010423214996,0.2594371125102043
6,buy,action_words,verbs,0.26674151308834554,0.2835025541484356,0.2214391052722931,0.27048741150647404,0.2584496868774295,0.309533533297087
7,carry,action_words,verbs,0.2697957271808072,0.21595584079623223,0.1590434143319726,0.12490146166007769,0.16620887937024237,0.23475764361210166
8,catch,action_words,verbs,0.21834011226892472,0.20478992871940135,0.22600346021354198,0.17961001563817264,0.18663588828510708,0.19453407861292363
9,chase,action_words,verbs,0.18621293948963286,0.1629771266132593,0.1912200774997473,0.18711972115561365,0.20536254816933683,0.16491948757320643
10,clap,action_words,verbs,0.2030537813244497,0.13137672701850533,0.15844056804321313,0.20716337840023794,0.1835404487326741,0.22371842672950343
11,clean,action_words,verbs,0.3127266090167196,0.30123724415898323,0.3217377007007599,0.2973682411015034,0.27454621070309687,0.2712199707564555
12,climb,action_words,verbs,0.2670782322162076,0.25884692147374155,0.23572190047094696,0.2431126233190298,0.23517115600407124,0.17917925472322263
13,close,action_words,verbs,0.15492577981203795,0.16664014905691146,0.16292145382612944,0.14038955951109527,0.19385500281657042,0.15653280149164953
14,cook,action_words,verbs,0.3731143079698086,0.3849878951907158,0.3845885585993528,0.3893957078456879,0.4008363475091755,0.3648957945406437
15,cover,action_words,verbs,0.17128210367732927,0.15570533899590372,0.15881078504025936,0.18587486110627652,0.14226443227380514,0.16916093563562945
16,cry,action_words,verbs,0.276005589452229,0.2518394310027361,0.27240297570824623,0.2447855480015278,0.26642468832433225,0.2827312366829978
17,cut,action_words,verbs,0.2322315851226449,0.2055805642157793,0.23224194757640362,0.21610112637281417,0.19106254260987043,0.18496181759983302
18,dance,action_words,verbs,0.15543273066807733,0.29377932163576287,0.27520917865790817,0.29575611974455807,0.2059680599719286,0.1976227864230934
19,draw,action_words,verbs,0.20278097571511017,0.15947024212218822,0.1943188291043043,0.1668906394196184,0.19363423985870262,0.21789231058210135
20,drive,action_words,verbs,0.1658060338936354,0.17697290200740098,0.17521004213227165,0.18321292533686287,0.16130322766931435,0.16165101802662799
21,drop,action_words,verbs,0.18006172344872826,0.24060549144633114,0.18217114228755235,0.23515395898568003,0.15955859906971454,0.16565417163074017
22,dry,action_words,verbs,0.2852700188755989,0.2671175124613862,0.25158066380965083,0.24779511517600009,0.27663051187992094,0.2497963070085174
23,dump,action_words,verbs,0.22417038418352603,0.23081327366985774,0.23813008032739164,0.20857746824622153,0.23907180577516557,0.2633751377463341
24,eat,action_words,verbs,0.3541540950536728,0.3431796312332153,0.33069523647427557,0.343219705671072,0.32109061554074286,0.33705048970878126
25,fall,action_words,verbs,0.2729276401155135,0.24290512626369795,0.20903948611683315,0.2721503001490706,0.22428964933051782,0.18580524407719312
26,feed,action_words,verbs,0.2064628306972353,0.1480833880810274,0.16227217411829364,0.16655898404618105,0.19685911896981692,0.18339419985810915
27,find,action_words,verbs,0.3207014777550572,0.31254980257815784,0.26118115620001364,0.2874469043686986,0.27407123344509227,0.28441474623978136
28,finish,action_words,verbs,0.12413206240652423,0.12484280361483495,0.11391093138167087,0.141634377924835,0.11406352315098048,0.12569130563901532
29,fit,action_words,verbs,0.17296121991239488,0.1693801585535862,0.1683208318917375,0.16893781982362271,0.18654720616691253,0.19335468858480453
30,fix,action_words,verbs,0.2604226730763912,0.16605458375723922,0.24392643322547278,0.27733697271660757,0.21729015421710515,0.26551058553159235
31,get,action_words,verbs,0.37701426838573654,0.3826087967437856,0.3833166046275033,0.3953826953383053,0.39185968910654384,0.39203953825765187
32,give,action_words,verbs,0.261550759896636,0.3045534871910748,0.31420542584622607,0.27755635584655564,0.26898203063756226,0.3029044082290248
33,go,action_words,verbs,0.3246603230635325,0.31898774579167366,0.35557399076573987,0.3608036820909807,0.2632529237307608,0.3244579274739538
34,hate,action_words,verbs,0.24958189194531818,0.23921939134597778,0.2240571193397045,0.1543973719603137,0.19685575682669879,0.1836374464787935
35,have,action_words,verbs,0.3644148106169369,0.30486434628255665,0.3666467053048751,0.3341339918620446,0.36874900287703466,0.3607557388022542
36,hear,action_words,verbs,0.3183532949537039,0.33940206840634346,0.317995622754097,0.28188388069209297,0.3461819436401129,0.33727993816137314
37,help,action_words,verbs,0.18407178939216667,0.13979768292868838,0.18843905213806364,0.1731528694577077,0.1885833794044124,0.16480838062448633
38,hide,action_words,verbs,0.24608040750026702,0.2317774586379528,0.202307222224772,0.22581530548632145,0.24225065638037288,0.19129095412790775
39,hit,action_words,verbs,0.27376550175249575,0.2215681816968653,0.20774337080203825,0.2504129821532651,0.27958907849258846,0.25316415578126905
40,hold,action_words,verbs,0.26168790542417103,0.20941549707204105,0.243394531076774,0.24715230937458968,0.24667957946658134,0.2314231086522341
41,hug,action_words,verbs,0.25278791785240173,0.27388522116576924,0.25666698769611473,0.24454958736896515,0.25016951972716733,0.2540401811985409
