,local,global
you,0.0005027555650280367,0.13606302326583264
be,0.0003595232963562012,0.18632079732518647
the,0.00034682687960172956,0.12971149774529633
do,0.0005310889747407702,0.2642448541914464
$name$,0.00026877555582258437,0.16424635527931097
it,0.00040303784258225383,0.21156246638245746
that,0.0003416556864976883,0.12937885753627498
a,0.0010087647858787986,0.1713519388300142
what,0.0008582290675905016,0.1356869137659118
i,0.0003917533904314041,0.2459487200656535
to,0.0012066084891557693,0.1144837070892133
nan,0.0011548598607381184,0.04115322256313325
and,0.0002181120216846466,0.13270327827494255
go,0.0009309681686195167,0.22807452836955722
oh,0.0008151075419257669,0.32262179939294744
we,0.0008393760883446896,0.11588648352725384
in,0.0006998100796261349,0.1991667711661973
have,0.00035837623808119033,0.16567251660497273
there,0.001079656183719635,0.22332478808429268
on,0.0010712504386901855,0.18980208610560445
this,0.0007100373506546021,0.14834225194973605
he,0.0015908049212561713,0.16691721995037223
get,0.00041949387752648556,0.2029358060528217
can,0.00028093246852650363,0.1301676951730737
your,0.0009201075881719589,0.12421704589302762
no,0.0010034748486110142,0.2966449509309902
one,0.0005996550832475934,0.20160616151154775
okay,0.0006530540330069405,0.2064048331363849
here,0.001149061563852671,0.2442742363773811
want,0.0008750720457597213,0.12510433452099645
look,0.0014295159159479914,0.17138889795700785
like,0.0005556055477687291,0.2161972734727804
see,0.0006206631660461426,0.17916038975908133
they,0.00034394334344302904,0.14354843111153737
put,0.0011538325286493069,0.17491922063384657
of,0.0008975894827591745,0.18569246320085164
right,0.0009406698055756398,0.19940208409923754
yes,0.001017122609274728,0.2820010481526618
yeah,0.0006883353800386996,0.34020504762520876
me,0.00034019062595982703,0.21341150867140202
think,0.0002535721834968118,0.17411055301668077
she,0.0005701762257200298,0.16781777300355594
with,0.0005586813477908864,0.18730189301772748
where,0.0008687575658162435,0.17690167710985116
for,0.0009530215036301385,0.21049688589264626
not,0.0004852695597542657,0.26909739895534235
come,0.0014937697230158625,0.27729364244306887
know,0.0005363356322050095,0.20811776181529107
now,0.0005171646674474081,0.22657683503232806
say,0.0008400533650372479,0.23470061800902542
good,0.0009759299216731902,0.23186181281567964
up,0.0018020984199311999,0.209056812385092
well,0.0005404247957117417,0.2311519019821494
all,0.0007109999656677246,0.24594272949267826
at,0.0019259423017501831,0.36337823357073784
will,0.0005831862940932765,0.2690220559633627
let,0.0006909404482160295,0.20207747674183885
some,0.0007182376252280341,0.20403451165691633
just,0.0006859372643863454,0.22292008026735877
then,0.00025477839840783016,0.24378159443845426
so,0.00047753073952414775,0.18360656005918408
them,0.000999913403862401,0.21529859430247011
little,0.0009414520528581408,0.20180950504125839
make,0.0009406853366542507,0.17217637085141535
how,0.00151781939171456,0.22545528643149093
out,0.0012300785850076115,0.20503549717380454
who,0.0007269007819039481,0.20013522150574525
but,0.0002708511967812815,0.22545564907498983
down,0.0012228052790572003,0.22856298323277158
because,0.0002986120455192797,0.1715510251363067
if,0.0004177834048415675,0.20155435293626578
her,0.0012155004910060338,0.20653113604305806
about,0.0009995270998050005,0.2287715788777731
play,0.0013078293379615335,0.2046558599394953
my,0.0011947734935863598,0.2695872295771824
eat,0.0007848724340781188,0.14586437625653126
when,0.00051054268172293,0.2188976481019974
take,0.001552776710407154,0.2011209561524102
big,0.001283953064366391,0.1889666099051257
very,0.0008789721657248104,0.19158925053654774
his,0.0013644422803606305,0.13248230914165726
baby,0.0008149461613761054,0.21713046354889076
tell,0.0012870978664707494,0.1870198479587536
back,0.001446830920684032,0.20961319724532113
him,0.00042589096462025363,0.2384389376808156
over,0.0007709066073099772,0.17052988716026085
more,0.0009743477168836092,0.2516018693801827
why,0.000655637468610491,0.29468248715847956
or,0.0006702211168077257,0.19882992876263628
too,0.0008008678754170736,0.218081535880445
two,0.0006078385537670504,0.19634332807608212
nice,0.0007409400799695184,0.17850132050851808
off,0.0016165134069081898,0.20263469853922833
these,0.0006328350619265908,0.1795571846410583
hm,0.0013608148223475407,0.29336106121711303
sit,0.0010579302906990051,0.19449258597401042
thing,0.001393741522079859,0.24707723942793824
huh,0.0009023768561226981,0.26675452580502435
those,0.0006093944822038923,0.2384286686075
need,0.0006307814572308515,0.17839473100844894
gonna,0.0005954570240444607,0.17969847603224576
give,0.0012295328908496434,0.19138228080909225
